category,net_sales_usd,pct_of_item_sales
Espresso,116319.18,57.63
Monthly Specials,19535.76,9.68
Anti-Coffee,18722.23,9.28
Coffee,18288.4,9.06
Roasted Coffee,8995.01,4.46
Cake Crusader,7666.9,3.8
Coffee Canisters,4834.7,2.4
Uncategorized,2953.58,1.46
Abby Jane Pastries,807.9,0.4
Quacks Pastries,773.49,0.38
Pastry,762.0,0.38
Kids Menu,680.5,0.34
Merch,560.0,0.28
Hot Tea,378.12,0.19
Pastries,319.3,0.16
Snacks,129.6,0.06
Easy Tiger Pastries,60.0,0.03
Canned and Bottled Drinks,33.0,0.02
House Sodas,16.0,0.01
