day_of_week,hour_local,net_sales_usd,order_count
Saturday,9,12928.26,1221
Sunday,9,11427.6,1058
Sunday,10,10194.82,982
Saturday,10,10163.96,978
Saturday,8,9479.21,876
Sunday,8,9296.75,847
Friday,8,9134.91,913
Friday,9,7760.39,794
Thursday,9,6767.31,700
Sunday,11,6731.82,626
Monday,9,6203.57,674
Saturday,11,6081.28,596
Thursday,8,5702.04,620
Friday,10,5170.65,504
Wednesday,8,5059.33,589
Monday,8,4969.77,569
Wednesday,9,4681.82,544
Tuesday,9,4667.29,510
Tuesday,8,4130.07,502
Monday,10,3956.84,442
Thursday,10,3950.26,428
Saturday,12,3570.45,376
Sunday,12,3391.19,326
Friday,7,2973.3,313
Tuesday,10,2863.49,310
Wednesday,10,2739.67,309
Monday,11,2476.45,274
Friday,11,2423.93,259
Thursday,7,2416.4,285
Thursday,11,2193.96,240
Saturday,7,2155.03,232
Wednesday,7,2114.06,232
Monday,7,2025.13,239
Saturday,13,1987.31,196
Wednesday,11,1680.9,190
Tuesday,7,1618.21,189
Friday,12,1480.48,162
Tuesday,11,1463.22,171
Friday,13,1228.22,105
Thursday,12,978.24,116
Thursday,13,455.6,59
Monday,12,360.9,42
Sunday,7,207.35,19
Sunday,13,131.25,20
Tuesday,12,119.25,11
Monday,13,108.45,14
Wednesday,6,69.3,10
Friday,6,66.39,9
Saturday,6,56.0,6
Wednesday,12,55.35,8
Thursday,6,36.25,4
Monday,6,32.0,3
Tuesday,6,21.15,3
Thursday,14,19.0,4
Wednesday,23,11.7,2
